"Estimate","SE","Lower","Upper","shrinkage"
-0.446244743937589,-0.503206480664981,-0.358341455159954,-0.543295825668317,-0.546933129140639
-0.446317782635758,-0.503245415476577,-0.358383188125948,-0.542868950674627,-0.546448840550399
-0.446385225631297,-0.503552595264761,-0.358353585824781,-0.54268627417867,-0.546249603812854
-0.446362538347865,-0.503733864905789,-0.358339267945629,-0.545287133814357,-0.549159779677186
-0.446526582387682,-0.504135100842658,-0.358367738323298,-0.547251666894765,-0.551351322134174
-0.44671255312097,-0.504349768969303,-0.358451711547312,-0.547697606927309,-0.551835712090114
-0.446713865782796,-0.504709248717938,-0.358484454763306,-0.546546357445954,-0.550543090262247
-0.44664695291765,-0.504655480100116,-0.358592429053058,-0.545286025115143,-0.549115818373514
-0.446647894443532,-0.505206610184177,-0.358612740813592,-0.544957786531204,-0.548745420135993
-0.446624515142773,-0.505132735708199,-0.358805386699053,-0.54572464277541,-0.549570255371149
-0.446596344314876,-0.505119694359736,-0.358904324645852,-0.545697023517038,-0.549522680947681
-0.446789772254411,-0.505663827849719,-0.358888568726948,-0.547634658347688,-0.551691614510482
-0.4468233992928,-0.505723143161866,-0.358762872883902,-0.547663686253661,-0.551745279285163
-0.446930207358456,-0.505939138265083,-0.35863619250345,-0.547686317249608,-0.551791958461833
-0.447050084967074,-0.506329418046475,-0.358507557695465,-0.547763500951872,-0.551899957350985
-0.44704554589879,-0.506229359654831,-0.35849565829193,-0.550057150313744,-0.554466264168529
-0.4470569059625,-0.506517183566685,-0.358568121319294,-0.55124780883116,-0.555785191374189
-0.447059828158574,-0.506413055363965,-0.358717434691963,-0.550463838762578,-0.554883516130882
-0.447136021575568,-0.50641395041115,-0.358687333652044,-0.552829224250683,-0.557533095485647
-0.447170693475331,-0.506525516063506,-0.358730990412281,-0.555197536608275,-0.56017350020493
-0.447183826963998,-0.506416316167142,-0.35867254344486,-0.556980747968581,-0.562176992667265
-0.447168426468976,-0.506414682926712,-0.358705481352147,-0.557581414320505,-0.562842978944471
-0.447064962629717,-0.506422859874302,-0.358800086343024,-0.557249314583245,-0.562455726709995
-0.447228727459683,-0.506916534541465,-0.358830938088777,-0.556764168405917,-0.561908127209863
-0.447193006500035,-0.506778115355266,-0.358830853825232,-0.556278597934843,-0.561365273903971
-0.447214790593127,-0.50686797881724,-0.358858726769792,-0.555394707017848,-0.560372380681839
-0.447204161081704,-0.506863262764123,-0.35876380994325,-0.553371223942777,-0.558126145221662
-0.447325777450415,-0.506895847476113,-0.358833275010861,-0.551941708948984,-0.556516225765923
-0.44734362337095,-0.506822576531041,-0.35890244850224,-0.553993270276665,-0.55879819697082
-0.447359609170033,-0.506697383035048,-0.358971331642723,-0.555974717101293,-0.561001829196673
-0.447442404511721,-0.506932228733704,-0.358941984790896,-0.55713590790356,-0.56230499226823
-0.447503293604811,-0.50710642278719,-0.359015491433506,-0.556990439942755,-0.562129954675922
-0.447601198176731,-0.507122300454675,-0.358856557900985,-0.556922839941804,-0.562081198473205
-0.447864341530835,-0.507466519824868,-0.358928499789565,-0.558214487903397,-0.563513119767071
-0.447790904699572,-0.507469381037415,-0.359024554411561,-0.560773188465787,-0.566357536083601
-0.44784534399122,-0.507747610380525,-0.359037819341288,-0.562120940042083,-0.567862083120432
-0.447797294546063,-0.507548940397405,-0.359039929063717,-0.560581655043322,-0.566140807296577
-0.447778300799552,-0.507610900174306,-0.359094610355617,-0.559038069433723,-0.564405851764986
-0.447781883448024,-0.507790673210519,-0.35910294419988,-0.557490177202425,-0.562673902718529
-0.44783996253084,-0.507986146417305,-0.359109059478401,-0.555999317996708,-0.561006090954357
-0.447757413050982,-0.507852326964907,-0.359085172805454,-0.555826270847587,-0.560816655290135
-0.447648805138372,-0.507561263589804,-0.359149235442632,-0.555682146196543,-0.560644713224733
-0.447672334338725,-0.507670579964985,-0.359154080608339,-0.555595776670865,-0.56054733450363
-0.447661923310401,-0.5075923386883,-0.359138705697841,-0.557232568811065,-0.56237986180379
-0.447676917753343,-0.507521232880867,-0.359159000468886,-0.558864528239448,-0.564200966757386
-0.447830312212783,-0.507858224982193,-0.359200049977162,-0.557853126776341,-0.563063293224308
-0.447864670474572,-0.507834634319906,-0.359239867776211,-0.556752107885441,-0.561825635310158
-0.447884555698846,-0.507826253758768,-0.35916498513325,-0.557000033676224,-0.562115452905941
-0.447979161217127,-0.508109060572456,-0.359169615430256,-0.558370368258529,-0.563646704854328
-0.448091599249611,-0.508600871093394,-0.359117680462381,-0.558892999164711,-0.564239770124996
-0.448073102530347,-0.508551480122322,-0.359126570123062,-0.558933340571376,-0.564283371636168
-0.4481551111172,-0.508802717328986,-0.359081861132127,-0.558204978086318,-0.563476607560262
-0.448107425649798,-0.508731041975993,-0.359146738532733,-0.558908005108946,-0.564251643116606
-0.448124586141888,-0.508844321558804,-0.35920382015346,-0.559154539332445,-0.564517635532682
-0.448145702963786,-0.508812499471752,-0.359181931078176,-0.55828306376669,-0.563547020172852
-0.448169613513453,-0.508863359491519,-0.359251423322772,-0.557018071571369,-0.56212103253116
-0.448114796988458,-0.508800168612614,-0.359291522415231,-0.556464146439129,-0.561494977675907
-0.448121672228599,-0.508784082308645,-0.35923653519471,-0.558717242653668,-0.564023217308898
-0.448293949140778,-0.509175544356965,-0.359295994130659,-0.558848147875908,-0.564159535383876
-0.448228203770025,-0.509309478460604,-0.359247610835721,-0.558546020987719,-0.563829922527164
-0.448271017365416,-0.509177402981711,-0.359255413920131,-0.55933613201425,-0.56471194943367
-0.4482536696763,-0.509042439996269,-0.35926000705003,-0.561103207322101,-0.566686763572026
-0.448257064564833,-0.50907794928059,-0.35926194179193,-0.562864745308758,-0.568655835600077
-0.448395801025669,-0.509173352744185,-0.359233262205626,-0.564620754757023,-0.570623892994843
-0.448388659928092,-0.509040143343274,-0.359280005680245,-0.56635219447652,-0.572551753553769
-0.448377412603503,-0.509280066168324,-0.359287568134796,-0.568042369312874,-0.574440091922922
-0.448309542609534,-0.509048549745063,-0.359278124646075,-0.569727281338094,-0.576325416281522
-0.448240058297478,-0.508816448122825,-0.359293050893364,-0.569548488534774,-0.576123007169665
-0.448389124022362,-0.509205279704544,-0.359306862960428,-0.569036145605165,-0.575547877217531
-0.44848910249391,-0.509209812345464,-0.359313926504488,-0.568523308254534,-0.574973333338655
-0.448483805151939,-0.509193096177951,-0.359320986843904,-0.568009976238931,-0.5743982369654
-0.448508647955121,-0.509275027268301,-0.359353547723764,-0.567516870722846,-0.573841450506754
-0.448569121118653,-0.509448693087646,-0.359371562167896,-0.568853481844752,-0.575332741025219
-0.448602934852659,-0.509444265623984,-0.359383934247112,-0.570370784077794,-0.577026996276643
-0.448567147838971,-0.509202712111796,-0.359425781567954,-0.571289308412281,-0.578046844114333
-0.448644966029919,-0.509362773597462,-0.35945666272254,-0.570759074979727,-0.577448832124257
-0.448732950321615,-0.509441678818396,-0.359428864691179,-0.568725633194622,-0.575180136311784
-0.448724146648578,-0.509303178262038,-0.359385231514782,-0.56730838926339,-0.573603021602078
-0.448721506666501,-0.509303976069959,-0.359380879893763,-0.567371878384155,-0.57367473675548
-0.448654528013765,-0.509316103066733,-0.359384027632974,-0.567499698069995,-0.573817107904083
-0.448727428769932,-0.509102407723342,-0.359391414322244,-0.567646027909554,-0.573979458057679
-0.448893747754423,-0.509307074391286,-0.359398364734239,-0.568408113269911,-0.574830296175772
-0.448948933815967,-0.509167371995959,-0.359412023353402,-0.569919263740178,-0.576517456651827
-0.448910129739386,-0.50893034281327,-0.359411007238498,-0.571347522777357,-0.57811442096041
-0.448985967623232,-0.508917243445142,-0.359432738285372,-0.571897248135404,-0.578725346428798
-0.449060002664733,-0.50917776739026,-0.359428423361447,-0.571968572308029,-0.57880581497321
-0.449144884947599,-0.509014443435787,-0.359473965457717,-0.572716166072986,-0.579633939020412
-0.449141034515939,-0.509073998717217,-0.359517693620829,-0.574159513613422,-0.581240221521852
-0.449238252251414,-0.509389322826274,-0.359585642465534,-0.575192903280548,-0.582384084020758
-0.449263957146305,-0.509582914165878,-0.359623005268212,-0.575307723000079,-0.582506147308304
-0.449291881050289,-0.509609647374043,-0.359639143492331,-0.575506253801145,-0.582725381258202
-0.449349131687438,-0.509525002094396,-0.359664529503285,-0.575451938844173,-0.582660373191756
-0.449365643546776,-0.509565650485688,-0.359701763684419,-0.575510397524992,-0.582719446573632
-0.449486159153585,-0.509552049011126,-0.359717003164649,-0.575607614005442,-0.582825562833563
-0.447664519801764,-0.507643726214028,-0.359158345226181,-0.555598710235444,-0.560549894558814
-0.410707110269353,-0.432907517617995,-0.346175741013322,-0.399783690623093,-0.388539644012884
